completion,prompt
S,"Hala Systems is recruiting a Commercial Strategy Manager to support the continued formulation of our B2B commercial strategy, leveraging our current and future technology to drive revenue with private sector clients. Our work is primarily funded by the foreign ministries of large governments, and this role will seek to diversify our funding through a robust and sustainable commercial revenue model in alignment with our mission.  The full job description and an application link can be found on our jobs site: https://lnkd.in/gbFSYTcT Depending on the candidate’s preference, this position can be remote, based anywhere between US and European time zones. Alternatively, the role can be based in Lisbon, Portugal when the pandemic allows. Compensation will be as competitive as possible; it’s a very important position.  This role is a particularly good fit for engineers with a strong business background in management consulting, strategy, and business development. This video testimonial best summarizes our work: https://lnkd.in/ghqVAfpU"
A,"Current mood. Don’t worry about a thing, because every little thing is gonna be alright. Have had this song stuck in my head all week"
A,"Mother Nature is an infinite source of inspiration for me… My biggest breakthroughs, best business ideas, and most important insights come when I am consciously connecting with the ultimate source of creativity. #Nature #MotherNature #Creativity"
C,"The Penn Libraries will be home to a new, five-year lecture series exploring issues related to diversity, equity, inclusion, and access, thanks to a recent gift from William C. Park, C’89, and Jung Choi. “This generous gift bolsters our commitment to create and sustain a living and learning environment that is truly transformative, safe, and welcoming for all,” said Constantia Constantinou, H. Carton Rogers III Vice Provost and Director of the Penn Libraries."
A,"Looking for a TECH and SOCIAL IMPACT JOB this Weekend? (8/14) The new #ICT4D Jobs list is out! 1. World Resources Institute is hiring a Senior Project Manager for data and visualization tools on climate risk 2. On Our Radar are looking for an experienced Digital Product Lead 3. Vera Solutions has multiple roles open for cyber security and software development 4. SNV seeks a Global Technical Advisor for Digital innovation 5. Viamo is recruiting Regional Country Directors in SE Asia and East Africa, among many open technology roles.  6. Center for Democracy & Technology is seeking an experienced Director for their Privacy & Data Project 7. GSMA seeks a Director, Research & Insights, Mobile for Humanitarian 8. USAID is hiring a Data Scientist to join the Health Office's Data Analytics and Use team 9. DAI is searching for a Associate Digital Specialist for their European office 10. @Nivi is hiring a Software Engineer 11. Abt Associates seeks an experienced ICT4D Digital Lead in the USA and a Tableau DHIS 2 Data Specialist in East Africa 12. VillageReach is hiring for multiple technology roles 13. CAMRIS is hiring a Senior Health Information Systems Advisor to work at USAID 14. Malmö University seeks a Senior lecturer in Communication for Development 15. Internews is hiring a Chief of Party - Greater Internet Freedom 16. IMC Worldwide is hiring an Innovation Programme Manager for the FCDO Frontier Technology Livestreaming programme 17. TaroWorks is hiring for two technology roles: business development and implementation support 18. nLine is hiring a software developer to work on sensor data 19. Geneva International Centre for Humanitarian Demining (GICHD) seeks a Information Management Advisor skilled in Geographic Information Systems 20. Mercy Corps is hiring a AWS Developer for their Data For Impact programme 21. GeoPoll is hiring a Business Development Lead in DC 22. Norwegian Refugee Council seeks a DevOps/Backend Engineer 23. Onja is recruiting a Front-End Developer for their team in Madagascar 24. Palladium: Make It Possible is hiring a Technical Advisor, Child Protection Information Systems Sharing is CARING! Links in comments. Tag someone you know who is looking! Follow me and #nickatnoon for more posts like this and sign up for ICT4D jobs list (details below)"
S,"S&P Global Ratings is hiring! We have an open Associate role on the Asset Manager coverage team. Be part of a small, high-performance team within a large, global organization considered among Fortune's Most Admired Companies. #hiring"
A,"Companies have been holding large cash reserves since the 2008-09 recession. It tells me that uncertainty about the outlook did not improve, despite massive monetary intervention. COVID, and more importantly the government response to the pandemic, simply compounded that uncertainty. Not surprisingly, anybody who can is sitting on cash, despite abysmal rates of return.... because cash is still king. ""Cash and short-term investments on corporate balance sheets globally are at an all-time high of $6.84 trillion, according to data from S&P Global, extrapolated from second-quarter earnings reports. That is 45% higher than the average in the five years preceding the pandemic and a 2.6% increase from the previous quarter."" #economy #business"
C,"I am happy to share that next week I will. be giving 3 hours online workshop to the EMEA - APAC cohort at the Echos - Innovation Lab Design Leadership Program about Ethics & Design. Thank you Juliana Proserpio and for giving me the opportunity to share my experience in this field in a very hands-on way, even that it will be online ;) So glad that Ethics is one of the key core concepts of this program designed to help designers grow in their practice. #proud #design #ethics #echos #designleadership"
S,I’m #hiring! Please feel free to share or reach out to me if you know anyone who might be interested!
A,Who’s delivering on their promises to accelerate global access to vaccines? 🔍 📊 Explore the latest data from the #COVID19 Task Force: https://lnkd.in/dtGd3pSQ
A,"Sharing our companies' purpose and values can go a long way in helping our employees find their own, but that's only one of the actions we can pursue to help in that regard. I share other thoughts in my most recent article:"
A,"HOW CAN LOGIC-LEADING INDIVIDUALS APPROACH CULTURE? “Culture for the Left Brained Leader” provides a unique and often underrepresented perspective to culture that is exactly what we need as leaders today. And people-driven leaders, use this perspective to align with your left-brained colleagues, to get their buy-in 🙌🏻 Bottom line, everyone gets something from this book. Look forward to hear what you gained from this culture playbook! Check out this infographic inspired by and created in collaboration with my amazing friend Rich Bracken, he is a must know! x Andrew YJ Kim Sarah Kim #culturestrategy #transformation #changemanagment #transformationalleadership #companyculture"
C,"Walking into Watson HQ nearly six years ago, I never could have anticipated how indelibly IBM’s culture of innovation and excellence would shape me both personally and professionally. I also couldn’t have foreseen how invaluable it would be to watch a 110-year old company evolve, adapt, and reinvent its business while maintaining its values and culture.   While last month marked the end of my journey with IBM, I am filled with gratitude for the innumerable lessons learned at Big Blue as well as the support, guidance, and mentorship of so many incredible IBM colleagues and friends along the way.    I’m excited to share that I’ve started a new career chapter at Facebook, where I’ll be focused on growing Facebook’s global messaging partner ecosystem across WhatsApp, Instagram, and Messenger. I have always been passionate about the power of technology to make the world a more connected place, and I’m thrilled to have the opportunity to drive impact and innovation at scale for these incredible businesses!"
A,Mobility is an A R T Don't believe me? Watch this video...
A,Thoughts on the infrastructure bill? Economic rebuild or revocation? #infrastructure #sustainability #innovation #management #futurism #culture #networking #architecture
A,📏 CAN WE MEASURE CULTURE? 👇 SWIPE THROUGH AND TELL ME WHAT I’VE MISSED! This is a compilation of useful advice and considerations I’ve gathered from reading ‘Culture for the Left Brained Leader’ and talking with Andrew YJ Kim It’s not a definitive list so please share your your thoughts below! 👇👇👇 #culturestrategy #employeeengagement #measurewhatmatters #culture
S,"I’m fascinated by the current dynamics of the office market and it’s long term implications. It also, of course, has profound impacts on the future of #commercialrealestate. Curious to hear from my LinkedIn connections, what’s your current office usage? Please add a comment if you’re working from home and feel free to comment below with additional insight. #future #returntowork #futureofwork"
A,"A couple years back, revenue-based financing (RBF) was starting to pick up some steam and garner a lot of interest in the media and with Founders. The hype had hit! As the anti-Hype Man I seemingly have become, I built and shared an open-source RBF model meant to help folks actually understand core RBF mechanics. I also wrote a pretty comprehensive post on RBF: https://lnkd.in/gTX7c3c4 Since then, I’ve connected with a steady stream of folks who have questions on the model and RBF in general. It’s been a decent enough evergreen marketing asset that seems to have provided folks with some intel they didn’t previously have. Kind of what I expected it to do, so all good. In the past few weeks, something I didn’t expect has happened a few times. People starting up new RBF funds have reached out because they’ve run across the model. So what? Someone wants to glom on to my experience and milk me for information? Don’t be such a skeptic. This outreach was unique in that it came from groups on 3 continents, all of whom are looking to deploy RBF to deliver impact while generating strong financial returns. One group is in South Africa - I spent a month there 12 years ago, loved it. Maybe this can get me back over there. One is supporting refugees in Georgia - I used to volunteer with the refugee community in Denver. Have not done so in years, maybe this can be a catalyst to get me back into it. One is in Colombia - My wife’s family is from Colombia. My kids are 1/4th Colombian. I have a Colombian national team soccer kit. Sure, why not hop on a call?! Point being, these interactions are of interest not only b/c of their unexpectedness (no need to look it up, I did, it’s a word) but more so b/c they are not my day-to-day, not really overlapping with Bigfoot, and have some tangential relationship to my personal life. So, I’ve determined they’re worth a bit of my time to see if I can provide some support beyond a spreadsheet and blog post I put on the internet 2 years ago. Anyways, it got me thinking a bit about unexpected benefits that can come along with sharing your knowledge and experience (a scary thing for a lot of us). Beyond building brand awareness and advocacy, which the model has done, it’s now serving as a mechanism for me and our team to potentially involve ourselves with people and missions that span well beyond Bigfoot’s focus. We’re not going to lend in Africa or South America or to a refugee run manufacturing company. It’s just not what we do. But, we have some operational know-how that may enable us to contribute to groups directly doing so. I think that’s pretty cool.  You never know what can happen when you take a bit of time to share your knowledge in a practical format. You may just help others succeed and open up some new avenues for your own growth. #capitalraising #financeandeconomy #finance #financialmodeling #revenuebasedfinancing Bigfoot Capital"
A,"Didn't know if anyone needed to see this, but it sure is the greatest thing I've read today. ""The key is that a depression, in our view, is not the same as a long and large recession, but is rather a different phenomenon entirely. Normal economic linkages are maintained in recessions, but break down during depressions… In both [the US in the 1930s and Japan’s current deflationary depression] monetary policy (falling interest rates) failed to stimulate economic growth or financial markets, leading to an unmanaged economic contraction in which central bank control is very limited."" - Bridgewater Associates #markets #economy #interestrates #investments #investing #economics #wealthmanagement #wealth"
A,"Q: Ever wonder what a mid-size temporary booth sets you back at a defense conference, all in? A: $100k - big decision for a startup. Surrounded by all these major program wares, it's hard to imagine a small business breaking into defense without a billionaire founder or magic wand. Hard - but not hocus pocus. :) #startup #innovation #usarmy #usnavy #usairforce #usmarines #spaceforce #smallbusiness #venturecapital"
A,It's easy to add ONE text column to your model... but how about TWO? 🤔 Just pass the same vectorizer TWICE to your ColumnTransformer! 💡 Learn more in this short video: 👉 https://lnkd.in/guykGmyv 👈 #Python #MachineLearning
S,"Machine Learning specialist, are you looking for the greatest operational challenge of all? Making an impact at the world largest retailer? join us ! We are looking to hire a Director of ML for the Site Reliability Engineering practice in Walmart to build a team and lead the research and delivery of artificial intelligence operations, machine learning models to detect and monitor for infrastructure anomalies and apply deep learning methodologies with a reward feedback loop to build decision support systems for incident management, incident prediction and root cause analysis. The is a green field role, bringing together innovation and operational excellence together and impacting the day to day operations of fortune #1."
C,"This year four museums and two galleries are featuring work by artist David Hartt of the Stuart Weitzman School of Design, including one currently at the Philadelphia Museum of Art."
A,"In our about monthly sessions with Dr. David Fisman (June edition, as usual he was ahead of the curve) we heard about this. Basically, if you’re not vaccinated (and even if you are, possibly) you will get Delta if you have any interactions. It’s something to “get around to” - get the vax. https://lnkd.in/exexhAQp We will add Fall 2021 dates here: https://lnkd.in/gai5WPw"
C,"I'm so excited to announce Christian Busch, NYU Professor and author of one of my favourite books - The Serendipity Mindset: The Art & Science of Creating Good Luck - will be joining me for the next Mindset Matters Live interview. If you'd like to know a bit more about how to use unpredictability to your advantage and create new professional opportunities, check out the event. We'll see you there! #mindset #mindsetmatters #linkedinlive"
A,"Sea levels are expected to rise between 0.3-0.6 meters by 2050, endangering millions of lives & livelihoods in the region. Learn how countries in #WestAfrica are leading interventions. http://wrld.bg/Qwq550FTIzk"
C,"Today marked the end of my placement year at Belfast Mercer as a Retirement Analyst. Completing my placement year virtually has been quite the experience. Not only have I had the opportunity to meet and work with some wonderful people amidst a trying year, experiencing a new city, learning about a new culture and meeting some lovely Northern Irish people has made for an unforgettable 12 months. A special shout-out to my colleagues and housemates Ollie Tanner-Smith and Daniel Rees Congratulate.Truly could not imagine the year without you both. I would also like to thank the WAS team for welcoming me with open arms and teaching me invaluable skills to carry forward into my future. For now I'll be returning to University of Leeds to complete my final year of Mathematics and Economics. #Mercer #Placement #Analytics #MMC #Economics #Finance #Belfast"
A,"Stay curious “Operational Excellence Foundations"" by Dr. Richard Chua #operationalexcellence #projectmanagement #linkedinlearning"
C,"Honored to be recognized by #PM360magazine as this year's Brand Champion in Cardiology! This is a success that I humbly share with my exceptional & inspiring team: Mayte Cabrera Dorian, Magdalena Mirka, Aakanksha Vora, RPh, MBA, Stephanie Wallace, Mark Blazejewski, The Bloc #novartis #patientaccess #_thebloc"
C,Sometimes your dreams can become realities! I’ll never forget the first box I packed on a Walmart folding table in a storage facility. I’ve had so much amazing help along the way along with the best partners you can ask for. I get to do what I love everyday… I’m a lucky man!
A,"August 9 - 13: This Week in the Markets; a comprehensive summary of the past week's market moves. • The S&P 500 Index gained 0.7%, setting another new high. Energy was the only sector negative as the outlook for oil demand remains uncertain in light of rising coronavirus cases. Financials continued its march and is now the top-performing sector on a YTD and 1-year basis. The Technology sector was let down by semiconductor stocks. • The S&P/TSX Index rose 0.2%. Dividend stocks led as the Financials sector rallied with their U.S. counterparts. The Real Estate sector also continued its strong run, while the Health Care struggled amid a sell-off in marijuana stocks. • Europe’s STOXX 600 added 1.3%, Japan’s Nikkei 225 Index was up 0.6%, while China’s CSI 300 Index managed a 0.5% gain despite more regulatory pressure from Beijing. #BMOGAM #BMO #Markets"
C,"I consider my biggest responsibility at Enveda to be getting the very best people in the world through the door and creating an environment where they are able to do their life's best work. A few months ago, we announced that Sotirios Karathanasis, former CSO at Lilly joined Enveda Biosciences as our CSO. Today, I am beyond excited to announce two new teammates in Narayanan (Hari) Hariharan and Indranil Mukhopadhyay, who bring an additional 40+ years of drug discovery experience to our portfolio. Together, they have experience spanning top large pharma companies like Pfizer and emerging startups like InSilico Medicine. I'm thrilled to be building by your side, Hari and Indranil. Welcome to the team!"
C,"AND SO IT BEGINS! More than excited to announce my new venture BoxyHQ “Enterprise features made simple”. Together with the amazing Deepak Prabhakara we are starting this new journey to help startups be enterprise-ready.  We know how frustrating it can be collaborating with enterprises; it is very time consuming and extremely difficult to understand them (sometimes). On the other side we also know how important it is for enterprises to ensure Compliance and Security; and how processes help their teams have complete visibility and it makes it easier to transfer business knowledge. That's why we are here to bring compliance & agility power! As some of you may know, I'm a huge Lego fan.. that's why I did my certification on LegoSeriousPlay and helped different businesses to overcome their problems by playing with Lego; but this is not the only thing I have in common with Deepak; we share the same purpose. Read our blog to find out more about him and BoxyHQ; you will see why we decided to take the plunge into solving this problem. Vamos con todo!! 🚀🚀  All in! ♠️ ♣️ ♥️ ♦️ #startups #enterpriseready #opensourcesoftware #compliance #openinnovation #sinmiedoalexitopapi #sinmiedoalexitomami"
A,"Stay curious ""Business Intelligence for Consultants"" by Joshua Rischin #dataanalysis #businessstrategy #tableau"
C,"All good things must come to an end.  After 6.5 years being part of the Victorian Public Service, I have resigned and will be starting a  new role after a short break.  My time within the service has been fantastic & I encourage anyone interested in working in a purpose-driven organisation to consider the public service. The opportunity for direct impact across so many important issues for our community is immense. For me the public service allowed me to use what I had learned across start-ups and large corporates in a whole new context.      During my time within the VPS, I led my team to: - Develop the technology response to the Royal Commission into Family Violence.  - created 3 whole of gov platforms, the first elements of our digital infrastructure - Change the approach to public engagement through engage.vic. - Made Victoria API first and delivered whole of Government API infrastructure - Created Single Digital Presence an open sources publishing that not only changes the way Victoria approaches its web presence but is having an impact nationally  - Proposed National API standards & delivered these with the DTA. - Created Developer.vic & API marketplace to make collaboration easier and grow our digital economy   - Delivered key aspects of Victoria’s COVID response including the QR Code system, vouchers & permits, automation and web presence  - Adoption of Human Centred Design within the VPS & produced tools like our HCD Playbook.   - Shake up traditional approaches to government service delivery through programs like Pick My Project, Budget.vic, Budget Hack and more.   Digital Victoria is the vehicle that brings together everything I have learnt from delivering these programs. It takes into account the complexity of the environment we work within, the need to improve the approach to assurance and governance and most importantly getting public service to think of digital as a connected ecosystem.  Pitching the Digital Victoria concept and leading the development of the Digital Victoria business case was fitting for the last program I led within Vic Gov.  I have been lucky to have had some great partners along the way. Today, Salsa Digital, KPMG Australia, Boston Consulting Group (BCG), Portable, @wearehuddle, Paper Giant, Deloitte Digital, Axway, Google Cloud, Wunderman, Luna Tractor, Katalyst Interactive, Harvest Digital Planning, VERSA Agency Geoplex amazee.io But of all the things I am most proud of from my time within Government, it’s the team we have created together. For me, this team is truly about driving innovation through trust & diversity. I have been purposeful about bringing together individuals with diverse experiences, be it culture, work experience, life or ability to give us a unique perspective about the work we do. Together we achieved so much.  As I leave the public service I am proud of what we have done and look forward to seeing what the team does next.  #digitaltransfomation #innovation #change #change"
A,🎙 [NEW PODCAST] Fighting the pandemic & dealing with debt: Is Sub-Saharan #Africa facing another debt crisis? World Bank Chief Economist Carmen Reinhart shares her expertise with Albert Zeufack in the latest #Afronomics. ⏩ http://wrld.bg/cFY250FUpT1
A,"I'm excited to share this new blog post with you next week! 🚀 It's a step-by-step resource that will help you to write better code questions, regardless of whether you are emailing a colleague or posting on Stack Overflow. 👩‍💻 Subscribe here to get notified when the post is live: https://lnkd.in/eHFNKRj 💌 #DataScience #programming"
A,"The Games of the XXXII Olympiad open today in Tokyo, with participation by more than 11,000 athletes, including six from Penn competing in rowing, the discus, fencing, equestrian jumping, and swimming. https://lnkd.in/gnvbWAE"
S,"Esteemed network! I need your help (and your #votes!) My new team at Landus is making some big changes, big moves, and big bets to put our #farmers at the center of #innovation. That includes ""gunning"" for a seat on a world stage next spring at SXSW! I've shared with many of you, recently, that one of the reasons I joined Landus when the opportunity presented itself, was because I see #agriculture as such a critical component of our #nationalsecurity.   In hopes of sharing the #why behind my transition from #defense to agriculture and highlighting Landus' cutting-edge innovation work, I asked some of the #brightest #minds I know in both worlds to join me in a discussion at #sxsw2022.  GUNS2GRAINS - Redefining U.S. Security, Post-COVID will feature a multi-lens discussion on bringing tech, modern practices, and non-traditional perspectives to the new frontier of national security - agriculture.  I will moderate a panel discussion between: Matt Carstens - representing Landus farmer-owners, and American farmers more generally;  Former #House #Ag #Chairman, K. Michael Conaway; and  Lieutenant General (Ret.) Vince S., former Director, Defense Intelligence Agency and Deputy Commander, #USCYBERCOM. We need your help to bring this panel (and topic) to the stage! It’s super quick and easy: 1. Click here to vote for the GUNS2GRAINS Panel: https://lnkd.in/gSVneXdd 2. Create a free PanelPicker account (signup information stays confidential) 3. Click the “thumbs up” icon (make sure it turns blue)  That’s it! Thank you for supporting Landus, Innovation, and National Security! Hope to see you at SXSW!"
S,"Excellent career opportunity to join the Deloitte team to serve public sector clients. Join our virtual career opportunities event on Thursday, August 19 (12 pm - 1 pm ET). Click the link below to for further details and register. #hiring #deloitte #careerconsulting #recruitment #jobs"
A,"Post COVID Economics see a drop in US Consumer Sentiment to the lowest point in 10 years as consumer budgets are stretched by inflation, and COVID continues to mutate and infect us like nothing ever before This, despite a favorable jobs report from July, but still way behind 2019 (Pre-COVID) levels. https://lnkd.in/d3QBWn4z #jamesray #recession #economics #inflation #sentimentanalysis"
S,"Want to work at the forefront of private sector development finance? Apply to the Young Professionals Program, until September 20 at http://wrld.bg/iG9M50FS2a9 Here’s what one Young Professional shared about joining the program:"
A,Ava DuVernay: 'Trying to Create a Show for LeVar Burton to Host and Make an International Hit'
C,"Two articles I've written this year have come out in the last few weeks. The first is about the famous psychologists Daniel Kahneman and Amos Tversky and runs through some of their most important work for the field of economics. It was part of the first newsletter published by the new Behavioural Insights Society at the University of Nottingham. It can be found here: https://lnkd.in/eqCsF4qF The second came out in the most recent edition of the Nottingham Economic Review and answers the question ""Would Scrooge Play Secret Santa?"" This is a somewhat ridiculous question but is really looking at how a ""rational"" person would play Secret Santa, all whilst (hopefully) being an entertaining read. It can be found here: https://lnkd.in/ekqQkgdX #university #economics #behavioraleconomics #behavioralscience #psycology"
A,"We have a plethora of Jasons/Jay coming up in our continuing Four Corners series. Join Jason Jogia, MBA (Avenue Living Asset Management), Jason Bordainick (Hudson Valley Property Group), and Jay Simmons (Durum Capital Inc.) on this panel, moderated by Martha Tredgett-Bender (Sera Global Advisors). Free for everyone: https://lnkd.in/eqYUEcwN CAASA - Canadian Association of Alternative Strategies & Assets"
A,""".. Local context, local entrepreneurs is the secret. And now we're seeing an acquisition spree, fueled by a huge warchest of capital from both the private and soon, the public markets duking it out for market share. Grab, Shopee, GoTo - these are becoming global players to watch."" Following our first emerging markets overview with Christopher M. Schroeder, we dive deeper on the Billion Dollar Moves Breakdown with THE emerging markets analyst, Mikal Khoso, VC at Wavemaker Partners, a cross border venture capital firm dual headquartered in Los Angeles and Singapore and has raised over $580M across multiple funds. -- 👊🏻 5 THINGS YOU'LL LEARN: - GoTo Group, Grab, Shopee - who will win in this multi-billion e-commerce showdown? - Primetime Emerging Markets: the opportunity for digitization, leapfrogging - The secret sauce of emerging markets - BYJU'S, the best kept secret in edtech? - SPACs: Real deal or a cover for the lack of fundamentals LIVE now! https://lnkd.in/d_wKJzHP . . What else did we miss in this #billiondollarmoves #breakdown? Tag your favorite investor/entrepreneur in the Emerging Markets! Rajive K. Kalsoom Lakhani Allen Taylor Rabeel Warraich Adrian Garcia-Aranyos #venturecapital #commerce #emergingmarkets #opportunity #investing"
A,"Landmark case against BINANCE for USD millions in losses financed by Liti Capital | Tune into CNBC today, 19 August, at 13h15 EST, for an interview with Liti Capital partner, David Kay! Get a front row seat to the largest consumer rights arbitration in history. #liticapital #arbitration #justice #defi #litigationfinance #fintech"
S,"R Street Institute's Cyber and Emerging Threats Team under Tatyana B. is launching a new website for #MakingSpace soon! It will also feature #CyberBase -a talent resource list for #blacksincyber in partnership with #ShareTheMicInCyber. CyberBase is accepting pre-launch nominations for experts to include in the launch. If you want to nominate somebody or yourself, here's the link: https://bit.ly/CyberBase cc Jumoke K. Dada Camille Stewart, Esq Katelyn Ringrose"
A,"Companies are pouring millions into “digital transformation” initiatives — but a high percentage of those fail to pay off. That’s because companies put the cart before the horse, focusing on a specific technology (“we need a machine-learning strategy!”) rather than doing the hard work of fitting the change into the overall business strategy first. Not only should they align tech investments with business goal, they should also lean more on insider knowledge than outside consultants, acknowledge fears about job loss that those insiders may have, develop deep knowledge of how changes will affect customer experience, and use experimentation, prototyping, etc. to facilitate change. https://lnkd.in/d9EB44XY #technology #digitaltransformation #artificialintelligence #innovation #machinelearning #ai"
A,"Stay curious ""Project Portfolio Management Foundations"" by Andy Jordan #projectmanagement #portfoliomanagement #linkedinlearning"
S,Anyone in my network looking for a data analyst/data engineer entry level person? I have a highly motivated candidate. Hit me up with a message if you do!
C,Glad to share an article @Jenny Cordina and I have co-authored. Members who experienced unplanned adverse events after a hospital discharge were more likely to change their health plan. Learn more about how healthcare leaders could improve the experience and resulting health outcomes through personalization of care: https://lnkd.in/eT3F2vfr #healthcare #personalization #healthoutcomes
S,"Signed up for this years free conference all about community building by @bevy Recommend attending if you have any interest in what it takes to create, scale and support a community."
A,"How temporary will the recent and sharp decline in consumer sentiment be due to the rise of the Delta variant? We don't know. According to the University of Michigan's results from its early August survey: ""Consumers have correctly reasoned that the economy's performance will be diminished over the next several months, but the extraordinary surge in negative economic assessments also reflects an emotional response, mainly from dashed hopes that the pandemic would soon end. In the months ahead, it is likely that consumers will again voice more reasonable expectations, and with control of the Delta variant, shift toward outright optimism."" Civic Science is also showing increased concern with their own August data: ""This week, nearly 80% of the population is concerned about the variant – with nearly half reporting they are 'very concerned'...Employers and businesses are beginning to require proof of vaccination or a negative COVID-19 PCR test for employees to return to work. As of right now, more adults agree than disagree that proof of COVID-19 vaccination should be required to go to work."" Meanwhile, over at Morning Consult for the month of July: ""Overall, sentiment declined in 41 of 50 states. With consumer sentiment rising in only eight states, July marks the worst month for state-level gains since November 2020 when the third wave was roaring through the U.S. and only four states experienced an increase in consumer confidence."" However, The Conference Board's own Consumer Confidence Index for July showed no such change (probably because their own survey was taken before the rise in Delta variants became daily news): ""Consumers’ appraisal of present-day conditions held steady, suggesting economic growth in Q3 is off to a strong start. Consumers’ optimism about the short-term outlook didn’t waver, and they continued to expect that business conditions, jobs, and personal financial prospects will improve."" It wouldn't surprise me to find out that the sharp drop in August is due largely to pandemic fatigue, with many consumers wondering, ""Is this ever going to end?"" Yes, but because the country didn't come together to achieve herd immunity quickly, while the pandemic will end, Covid-19 is here to stay, and will likely be managed appropriately as it becomes less lethal. Link to reports in comments. #consumerconfidence #consumersentiment #economy #consumerspending #Delta #vaccinations #pandemic"
C,"Some personal news, as they say — I started a new role at Wix.com, joining Susan Kaplow and Rob Goodman on the content team. I’ve spent most of my career working with creatives and entrepreneurs — couldn’t be more excited to work on the content and resources that will help more of them start and grow their online businesses. Awesome people, awesome products, awesome community — at the risk of being unbearably cheesy (sorry!), it’s my dream job. Thank you to Susan and Rob and the whole team for the opportunity."
C,It's heartwarming to receive comments like this! ❤️ This is my free ML course that he just completed: https://lnkd.in/gHUW_2D #Python #DataScience #MachineLearning
C,"As I finish up my internship as a Marketing Coordinator for Ragan McKinney Real Estate, I'm thankful for the opportunity to work on a team that aligns with many values as my own - hard-driven and determined, in addition to, delivering quality and providing a positive environment. Over the past few months, I have been able to design and manage multiple marketing platforms in addition to marketing homes in the Multiple Listing Services (MLS). Throughout my time, I have gained valuable skills such as customer knowledge, digital advertising and writing to further myself in my professional career. I'd like to thank Ragan McKinney and her team for giving me this great opportunity! #marketing #realestate #career #RMREteam #internship"
A,"Caution should be used when using Artificial Intelligence in lending, and not for the reasons you might think — it's not about keeping assets secure, it's about being fair and unbiased... #AI #ML #futurism #IntelligenceFactory #digitaltransformation #DX"
A,"Sometimes a stubborn person can make a difference. One of John Boyd's acolytes - Pierre Sprey - passed away, and anyone who appreciates the A-10 should reflect on his obituary. ""During the 1980s, Mr. Sprey and some of his fellow defense analysts from the 'fighter mafia' helped spearhead what was called the military reform movement, seeking to develop simpler, more efficient and less expensive weapons programs. 'Not all simple, low-cost weapons work, but war-winning weapons are almost always simple,' he said."" JJ S. Doowan Lee Tripp M. Jim ""hondo"" Geurts Shawna Sinnott Tom Gordon Lisa McKinnon Munde David Phillips Claude Dallas Richard Hanberg 🇺🇸 Lt Col Steven Fowler #innovation #technology #usaf #usmilitary #defensetechnology"
A,Worthwhile read on Facebook’s (lack of) Transprency Reports
A,"Watching Mariano Suarez-Battan and the team MURAL execute on their vision for what visual collaboration and the ""future of work"" should be has been nothing short of amazing. So many good insights to learn from here:"
C,"More than a decade ago, a group of engineering students and friends started working around the idea of building a social marketplace. Back then, most people were afraid of buying things over the internet. Our thinking was that the “social distance” in the social graph could have been leveraged as a relevant indicator of trust, to eventually facilitate transactions. The marketplace never took off, but some of us continued running experiments around our merchant’s feedback, until we managed to understand that some of them wanted more personalization and control around their digital presence. After some prototyping, ""Nuvemshop | Tiendanube"" was born as a simple platform to help merchants build an online store, and to help them connect directly with their consumers. Ten years into the future, we are seeing D2C happen at a massive pace all over the world, and Nuvemshop has become the go-to platform for LATAM merchants to be successful. We have been privileged enough to partner with an amazing group of people: merchants, partners, advisors, investors, and team, and we now have even more resources to continue building infrastructure for the decade to come. The essence remains unchanged: to help everyone out there to convert passion projects into thriving businesses."
C,"🇨🇦🇨🇦🇨🇦🇨🇦🇨🇦 I am happy to announce that I will be joining McMaster University as a Ph.D. student in Geography this coming fall. I will be working within Prof. Alemu Gonsamo guidance on problems at the interface of #remotesensing and #machinelearning.  Again, I would like to thank all colleagues for the ten years at Banco do Brasil working as a public servant. It was my first job, with a high sense of duty towards the Brazilian population, paramount in my quest for purpose. Finally, I would like to thank all clients and actors that I have interacted with within this period, always in a supportive and progressive manner, experiences that I will carry for the rest of my life. #newbeginning #reseach #thankful 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷 Estou muito feliz em comunicar que estarei iniciando doutorado em Geografia na McMaster University no próximo mês. Eu irei trabalhar com o Prof. Alemu Gonsamo em problemas na interface entre o #sensoriamentoremoto e a #aprendizagemdemaquina . Novamente, gostaria de agradecer a todos os colegas do Banco do Brasil pelos dez anos de trabalho como empregado público. Este foi o meu primeiro emprego de carteira assinada, com um grande sentimento de missão junto à população brasileira, fundamental na minha busca por propósito. Finalmente, eu gostaria de agradecer a todos os clientes e atores que interagi nesse período, sempre com uma um ambiente de apoio e progressista, experiências estas que irei carregar pelo resto da minha vida. #novostempos #pesquisacientifica #gratidão"
